"fill","Country.code","Country.name","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","region2"
"二氧化碳排放总量","ABW","Aruba",1840.83,1928.84,1723.49,1771.16,1763.83,1785.83,1811.5,1851.84,1668.49,1686.82,2233.2,2236.87,2255.21,2255.21,2258.87,2273.54,2273.54,2357.88,2288.21,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","ADO","Andorra",NA,NA,NA,NA,NA,407.04,425.37,458.38,484.04,513.38,524.38,524.38,531.72,535.38,564.72,575.72,546.38,539.05,539.05,"欧洲和中亚"
"二氧化碳排放总量","AFG","Afghanistan",2676.91,2493.56,1426.46,1375.13,1320.12,1268.78,1199.11,1114.77,1056.1,832.41,781.07,645.39,359.37,583.05,704.06,700.4,696.73,715.07,814.07,"南亚"
"二氧化碳排放总量","AGO","Angola",4429.74,4367.4,4418.74,5801.19,3890.69,11012,10491.29,7381.67,7308.33,9156.5,9541.53,9732.22,12665.82,9064.82,18793.38,19156.41,22266.02,25151.95,24370.88,"撒哈拉以南非洲"
"二氧化碳排放总量","ALB","Albania",7488.01,3971.36,2387.22,2343.21,1928.84,2086.52,2016.85,1543.81,1752.83,2992.27,3028.94,3230.63,3751.34,4290.39,4004.36,4602.09,4231.72,4481.07,4176.71,"欧洲和中亚"
"二氧化碳排放总量","ARE","United Arab Emirates",52009.06,57010.85,58136.62,65980.33,73130.98,70641.09,41059.4,41646.12,81495.41,78374.79,112562.23,101333.88,84300.66,106365,112877.59,115627.84,122752.83,137981.88,155066.43,"中东和北非"
"二氧化碳排放总量","ARG","Argentina",112613.57,117021.3,121447.37,118609.12,123350.55,122547.47,129217.75,134677.91,137673.85,145488.23,141076.82,140471.77,131406.95,142349.27,155000.42,158924.11,175528.29,183727.7,192378.15,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","ARM","Armenia",NA,NA,3681.67,2929.93,2966.6,3490.98,2607.24,3278.3,3406.64,3058.28,3465.32,3542.32,3003.27,3428.65,3645,4349.06,4378.4,5056.79,5548.17,"欧洲和中亚"
"二氧化碳排放总量","ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"东亚和太平洋地区"
"二氧化碳排放总量","ATG","Antigua and Barbuda",300.69,293.36,293.36,308.03,311.7,322.7,322.7,337.36,333.7,348.37,344.7,344.7,363.03,388.7,407.04,410.7,425.37,436.37,447.37,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","AUS","Australia",287331.45,281530.26,294456.43,302116.8,303957.63,307433.95,329259.93,333623.66,346912.87,325523.26,329604.63,324859.53,341397.7,346476.5,349223.08,367393.06,377381.97,380814.28,399218.96,"东亚和太平洋地区"
"二氧化碳排放总量","AUT","Austria",60960.21,65888.66,60531.17,58213.63,57586.57,60622.84,61055.55,61359.91,63549.11,61755.95,61788.95,63637.12,65118.59,72316.91,72118.89,74385.1,72126.22,68807.59,67725.82,"欧洲和中亚"
"二氧化碳排放总量","AZE","Azerbaijan",NA,NA,44172.68,43285.27,42383.19,33586.05,31565.54,29966.72,31594.87,29299.33,30546.11,29438.68,30007.06,31162.17,32262.27,34491.8,39317.57,42236.51,47139.29,"欧洲和中亚"
"二氧化碳排放总量","BDI","Burundi",304.36,344.7,319.03,337.36,341.03,333.7,330.03,315.36,300.69,293.36,300.69,216.35,220.02,165.02,161.35,165.02,198.02,183.35,179.68,"撒哈拉以南非洲"
"二氧化碳排放总量","BEL","Belgium",108469.86,117578.69,114373.73,108924.57,113306.63,112976.6,119624.87,116295.24,119184.83,115844.2,115712.19,114766.1,107531.11,114835.77,111282.45,107116.74,106816.04,102529.32,104879.87,"欧洲和中亚"
"二氧化碳排放总量","BEN","Benin",715.07,828.74,905.75,1133.1,1265.12,1327.45,1265.12,1217.44,1213.78,1562.14,1617.15,1738.16,2053.52,2321.21,2398.22,2566.9,3729.34,3879.69,4066.7,"撒哈拉以南非洲"
"二氧化碳排放总量","BFA","Burkina Faso",586.72,627.06,630.72,627.06,645.39,627.06,707.73,806.74,861.75,931.42,1041.43,997.42,1004.76,1078.1,1103.77,1125.77,1360.46,1646.48,1855.5,"撒哈拉以南非洲"
"二氧化碳排放总量","BGD","Bangladesh",15533.41,15940.45,17748.28,17407.25,18969.39,22816.07,24029.85,25063.95,24040.85,25232.63,27865.53,32449.28,33699.73,33824.41,39735.61,37652.76,46644.24,46930.27,46526.9,"南亚"
"二氧化碳排放总量","BGR","Bulgaria",77729.4,59706.09,53600.54,69328.3,55848.41,59805.1,56691.82,53681.21,50993.3,43982,43530.96,46453.56,44634.72,47307.97,46787.25,47909.36,48943.45,52812.13,50538.59,"欧洲和中亚"
