"Country.code","Country.name","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","region2"
"ABW","Aruba",29.62,29.84,25.24,24.41,22.98,22.23,21.81,21.75,19.22,19.07,24.74,24.22,23.84,23.28,22.81,22.51,22.14,22.62,21.68,"拉美和加勒比海"
"ADO","Andorra",NA,NA,NA,NA,NA,6.29,6.52,7.06,7.53,8.02,8.11,7.9,7.7,7.41,7.5,7.39,6.84,6.62,6.53,"欧洲和中亚"
"AFG","Afghanistan",0.14,0.13,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,"南亚"
"AGO","Angola",0.43,0.41,0.4,0.51,0.33,0.91,0.84,0.58,0.56,0.68,0.69,0.68,0.85,0.59,1.18,1.16,1.31,1.44,1.35,"撒哈拉以南非洲"
"ALB","Albania",2.28,1.21,0.73,0.73,0.61,0.66,0.65,0.5,0.57,0.97,0.99,1.05,1.21,1.38,1.28,1.46,1.34,1.41,1.31,"欧洲和中亚"
"ARE","United Arab Emirates",28.76,29.85,28.86,31.1,32.75,30.08,16.6,15.95,29.58,27.05,37.11,32.18,25.9,31.28,30.86,28.41,26.33,25.53,24.98,"中东和北非"
"ARG","Argentina",3.45,3.54,3.62,3.49,3.58,3.52,3.66,3.77,3.81,3.98,3.82,3.77,3.49,3.75,4.04,4.11,4.5,4.67,4.84,"拉美和加勒比海"
"ARM","Armenia",NA,NA,1.07,0.87,0.9,1.08,0.82,1.05,1.1,0.99,1.13,1.16,0.98,1.12,1.19,1.42,1.43,1.64,1.8,"欧洲和中亚"
"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"东亚和太平洋"
"ATG","Antigua and Barbuda",4.83,4.67,4.6,4.72,4.66,4.7,4.58,4.66,4.5,4.58,4.44,4.35,4.51,4.76,4.91,4.89,5.01,5.08,5.15,"拉美和加勒比海"
"AUS","Australia",16.84,16.29,16.83,17.1,17.02,17.01,17.98,18.02,18.54,17.2,17.21,16.73,17.37,17.41,17.35,18.01,18.23,18.07,18.57,"东亚和太平洋"
"AUT","Austria",7.91,8.45,7.78,7.34,7.26,7.62,7.67,7.7,7.96,7.72,7.71,7.91,8.06,8.91,8.82,9.03,8.71,8.29,8.12,"欧洲和中亚"
"AZE","Azerbaijan",NA,NA,5.98,5.78,5.58,4.37,4.07,3.82,3.99,3.67,3.8,3.63,3.67,3.78,3.88,4.11,4.63,4.92,5.38,"欧洲和中亚"
"BDI","Burundi",0.05,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.02,"撒哈拉以南非洲"
"BEL","Belgium",10.88,11.75,11.39,10.8,11.2,11.15,11.78,11.42,11.68,11.33,11.29,11.16,10.41,11.07,10.68,10.22,10.13,9.65,9.79,"欧洲和中亚"
"BEN","Benin",0.15,0.17,0.18,0.21,0.23,0.23,0.22,0.2,0.2,0.25,0.25,0.26,0.3,0.32,0.32,0.34,0.47,0.48,0.49,"撒哈拉以南非洲"
"BFA","Burkina Faso",0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.11,0.12,"撒哈拉以南非洲"
"BGD","Bangladesh",0.15,0.15,0.16,0.15,0.16,0.19,0.2,0.2,0.19,0.2,0.22,0.25,0.25,0.25,0.29,0.27,0.33,0.33,0.32,"南亚"
