"Country.code","Country.name","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","region2"
"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"拉美和加勒比海"
"ADO","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"欧洲和中亚"
"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.01,32.66,36.04,31.31,28.01,25.87,28.48,"南亚"
"AGO","Angola",130.24,129.97,141.24,246.26,159.58,409.11,350.5,228.56,211.87,257.12,260.1,257.21,292.38,202.55,377.7,319.2,312.92,288.09,245.29,"撒哈拉以南非洲"
"ALB","Albania",581.6,438.08,283.77,254.14,193.16,184.43,163.4,139.28,140.32,217.56,205.25,204.59,230.87,249.81,220.17,239.84,210.03,210.02,181.76,"欧洲和中亚"
"ARE","United Arab Emirates",547.42,598.81,594.64,680.99,703.21,629.27,344.51,327.62,614.86,569.22,778.71,689.31,558.91,630.21,609.66,577.18,563.71,597.21,638.59,"中东和北非"
"ARG","Argentina",462.56,426.61,395.52,364.73,358.4,366.49,366.2,353.04,347.51,380.11,371.51,386.98,406.27,404.37,403.84,379.25,386.18,372.03,364.88,"拉美和加勒比海"
"ARM","Armenia",NA,NA,688.37,600.67,577.03,635.2,448.11,545.34,528.14,458.98,491.1,458.04,343.09,343.59,330.56,346.28,307.96,312.69,320.92,"欧洲和中亚"
"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"东亚和太平洋"
"ATG","Antigua and Barbuda",381.96,365.21,362.13,360.79,343.36,370.98,347.55,346.42,328.19,329.06,320.84,313.9,322.46,328.6,321.49,311.34,284.67,267.73,274.01,"拉美和加勒比海"
"AUS","Australia",702.17,689.95,717.44,707.79,685.76,666.4,685.07,668.1,665.24,593.59,578.2,558.81,565.59,556.43,538.54,550.91,549.04,533.9,539.58,"东亚和太平洋"
"AUT","Austria",308.04,322.19,290.51,278.34,269.38,276.56,272.46,268.12,268.05,252.07,243.32,249.3,250.97,276.5,268.9,270.69,253.35,233,224.45,"欧洲和中亚"
"AZE","Azerbaijan",NA,NA,1688.72,2151.88,2623.96,2357.51,2187.25,1962.63,1881.15,1624.28,1524.21,1336.62,1231.85,1150.43,1080.8,914.15,774.76,665.56,670.41,"欧洲和中亚"
"BDI","Burundi",110.69,119.39,109.4,123.38,129.69,137.82,148.16,143.86,130.95,129.06,133.43,94.07,91.59,69.54,64.86,65.75,75.05,67.07,62.9,"撒哈拉以南非洲"
"BEL","Belgium",434.02,462,442.63,425.63,428.92,417.71,436.15,408.71,410.94,385.75,371.63,365.72,338.04,358.19,336.23,318.19,308.98,288.16,291.83,"欧洲和中亚"
"BEN","Benin",134.12,148.43,155.97,188.48,201.63,202.25,182.62,165.56,157.89,194.09,189.91,194.4,219.78,239.11,239.61,249.24,347.85,345.96,345.03,"撒哈拉以南非洲"
"BFA","Burkina Faso",92.47,90.6,90.92,87.37,88.76,81.57,82.93,88.92,88.51,89.07,97.79,87.82,84.49,83.91,82.1,78.74,90.19,105.36,113.08,"撒哈拉以南非洲"
"BGD","Bangladesh",197.51,196.14,207.9,194.99,204.15,234.02,235.58,233.16,212.53,212.71,221.72,245.26,243.94,232.62,257.15,229.97,267.18,252.58,235.81,"南亚"
"BGR","Bulgaria",1183.12,992.62,961,1261.66,998.2,1039.2,1082.88,1042.53,944.42,798.88,747.86,766.26,703.54,706.77,654.8,630.42,604.66,612.93,552.21,"欧洲和中亚"
"BHR","Bahrain",1346.34,1171.57,1010.94,1280.55,1293.39,1307.01,1224.09,1316.41,1334.97,1253.16,1231.25,879.36,941.66,921.5,915.38,914.04,929.96,913.41,899.17,"中东和北非"
"BHS","Bahamas, The",322.59,307.56,321.76,307,298.26,287.58,281.08,262.15,257.77,241.17,231.67,225.8,254.86,231.85,246.91,250.55,261.59,259.3,263.62,"拉美和加勒比海"
"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,803.6,649.11,520.62,902.06,1012.9,1069.12,1255.3,1071.55,1126.75,1098.48,1096.36,1086.42,1096.32,1082.86,1108.27,"欧洲和中亚"
"BLR","Belarus",NA,NA,1472,1355.7,1359.29,1429.71,1346.84,1196.19,1067.87,1000.87,906.17,851.16,807.11,773.16,751.84,707.17,669.93,594.57,556.92,"欧洲和中亚"
"BLZ","Belize",394.45,411.57,363.61,363.3,359.2,360.4,289.78,353.15,324.36,484.17,491.01,482.75,232.03,220.91,215.29,217,213.12,220.03,212.04,"拉美和加勒比海"
"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"北美"
"BOL","Bolivia",268.9,268.21,303.55,351.98,372.64,376.65,334.51,359.13,358.75,337.94,321.26,293.06,270.28,363.27,321.63,298.34,289.45,345.29,319.81,"拉美和加勒比海"
"BRA","Brazil",194.55,201.23,203.44,203.21,202.46,220.65,236.14,243.56,238.02,243.52,239.3,243.19,233.61,223.77,222.38,221.13,214.28,211.04,214.22,"拉美和加勒比海"
"BRB","Barbados",257.22,297.49,254.08,286.46,184.88,201.81,203.44,202.75,246.19,254.63,244.35,264.51,275.88,279.33,274.85,278.45,272.89,267.23,267.48,"拉美和加勒比海"
"BRN","Brunei Darussalam",505.37,443.79,423.09,405.83,380.81,371.65,366.53,386.39,400.08,298.31,411.71,380.45,314.47,307.7,306.37,291.83,262.94,520.48,588.17,"东亚和太平洋"
"BTN","Bhutan",136.86,190.11,215.44,180.47,198.28,219.23,251.98,311.09,286.5,268.09,258.84,250.82,285.31,238.37,219.14,297.26,172.01,200.4,242.36,"南亚"
"BWA","Botswana",226.78,208.2,310.35,324.16,312.81,300.87,253.9,235.84,254.44,224.1,255.2,249.96,237.34,212.37,205.56,209.02,195.91,194.47,197.27,"撒哈拉以南非洲"
"CAF","Central African Republic",82.28,85.8,96.6,99.54,99.56,92.87,96.74,96.18,93.23,95.29,94.44,86.45,86.96,89.9,89.01,86.92,88.97,87.06,87.83,"撒哈拉以南非洲"
"CAN","Canada",601.13,612.58,632.41,631.53,573.04,563.89,564.67,559.55,532.68,503.69,538.28,518.73,498.93,519.42,505.87,497.17,471.41,457.45,455.03,"北美"
"CHE","Switzerland",191.56,190.62,194.81,184.8,184.62,174.73,176.45,179.58,176.37,169.05,156.76,170.45,160.9,159.13,155.98,155.47,151.84,133.01,138.68,"欧洲和中亚"
"CHI","Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"欧洲和中亚"
"CHL","Chile",401.93,351.89,324.1,322.21,337.22,331.13,350.09,378.32,378.89,402.75,372.25,323.68,328.8,318.31,332.24,321.66,316.66,323.01,324.98,"拉美和加勒比海"
"CHN","China",1969.46,1894.26,1730.25,1620.62,1522.28,1490.28,1413.07,1295.23,1151.24,1067.9,1011.02,956.12,928.31,1033.73,1097.21,1079.37,1061.03,983.75,929.32,"东亚和太平洋"
"CIV","Cote d'Ivoire",242.42,235.57,193.75,247.38,218.67,277.25,302.35,278.98,225.22,201,226.19,257.39,246.26,187.45,258.48,260.65,236.19,207.64,222.96,"撒哈拉以南非洲"
"CMR","Cameroon",68.55,45.55,160.58,170.37,171.13,189.37,190.2,126.47,120.12,110.47,118.13,112.66,108.21,115.51,116.12,106.04,118.53,165.63,138.38,"撒哈拉以南非洲"
"COG","Congo, Rep.",139.87,145.45,176.28,174.74,257.38,180.33,189.5,260.3,83.28,90.34,107.2,84.86,66.63,101.37,171.74,134.45,115.39,127.54,146.98,"撒哈拉以南非洲"
"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"东亚和太平洋"
"COL","Colombia",283.25,275.89,285.34,287.61,286.81,240.51,239.28,248.09,250.75,224.21,220.08,210.28,202.91,201.44,179.09,188.23,183.52,176.91,182.33,"拉美和加勒比海"
"COM","Comoros",145.57,153.87,141.78,137.64,145.31,146.92,121.78,117.07,128.43,138.6,142.88,144.28,144.31,152.09,158.1,162.52,176.58,175.72,179.29,"撒哈拉以南非洲"
"CPV","Cape Verde",154.99,159.2,172.67,161.29,161.61,155.35,183.1,178.29,178.78,184.22,187.52,201.91,226.89,220.02,231.24,229.63,218.91,203.88,189.72,"撒哈拉以南非洲"
"CRI","Costa Rica",154.3,169.84,176.8,171.6,218.42,194.09,187.75,186.75,183.69,176.29,171.67,178.72,190.7,187.74,188.34,178.16,175.46,177.7,170.99,"拉美和加勒比海"
