Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,29.62,29.84,25.24,24.41,22.98,22.23,21.81,21.75,19.22,19.07,24.74,24.22,23.84,23.28,22.81,22.51,22.14,22.62,21.68,,,
ADO,Andorra,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,,,,6.29,6.52,7.06,7.53,8.02,8.11,7.90,7.70,7.41,7.50,7.39,6.84,6.62,6.53,,,
AFG,Afghanistan,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.14,0.13,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,,,
AGO,Angola,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.43,0.41,0.40,0.51,0.33,0.91,0.84,0.58,0.56,0.68,0.69,0.68,0.85,0.59,1.18,1.16,1.31,1.44,1.35,,,
ALB,Albania,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,2.28,1.21,0.73,0.73,0.61,0.66,0.65,0.50,0.57,0.97,0.99,1.05,1.21,1.38,1.28,1.46,1.34,1.41,1.31,,,
ARE,United Arab Emirates,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,28.76,29.85,28.86,31.10,32.75,30.08,16.60,15.95,29.58,27.05,37.11,32.18,25.90,31.28,30.86,28.41,26.33,25.53,24.98,,,
ARG,Argentina,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,3.45,3.54,3.62,3.49,3.58,3.52,3.66,3.77,3.81,3.98,3.82,3.77,3.49,3.75,4.04,4.11,4.50,4.67,4.84,,,
ARM,Armenia,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,1.07,0.87,0.90,1.08,0.82,1.05,1.10,0.99,1.13,1.16,0.98,1.12,1.19,1.42,1.43,1.64,1.80,,,
ASM,American Samoa,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,4.83,4.67,4.60,4.72,4.66,4.70,4.58,4.66,4.50,4.58,4.44,4.35,4.51,4.76,4.91,4.89,5.01,5.08,5.15,,,
