Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,23.01,32.66,36.04,31.31,28.01,25.87,28.48,,,
AGO,Angola,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,130.24,129.97,141.24,246.26,159.58,409.11,350.50,228.56,211.87,257.12,260.10,257.21,292.38,202.55,377.70,319.20,312.92,288.09,245.29,,,
ALB,Albania,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,581.60,438.08,283.77,254.14,193.16,184.43,163.40,139.28,140.32,217.56,205.25,204.59,230.87,249.81,220.17,239.84,210.03,210.02,181.76,,,
ARE,United Arab Emirates,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,547.42,598.81,594.64,680.99,703.21,629.27,344.51,327.62,614.86,569.22,778.71,689.31,558.91,630.21,609.66,577.18,563.71,597.21,638.59,,,
ARG,Argentina,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,462.56,426.61,395.52,364.73,358.40,366.49,366.20,353.04,347.51,380.11,371.51,386.98,406.27,404.37,403.84,379.25,386.18,372.03,364.88,,,
ARM,Armenia,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,688.37,600.67,577.03,635.20,448.11,545.34,528.14,458.98,491.10,458.04,343.09,343.59,330.56,346.28,307.96,312.69,320.92,,,
ASM,American Samoa,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,381.96,365.21,362.13,360.79,343.36,370.98,347.55,346.42,328.19,329.06,320.84,313.90,322.46,328.60,321.49,311.34,284.67,267.73,274.01,,,
AUS,Australia,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,702.17,689.95,717.44,707.79,685.76,666.40,685.07,668.10,665.24,593.59,578.20,558.81,565.59,556.43,538.54,550.91,549.04,533.90,539.58,,,
AUT,Austria,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,308.04,322.19,290.51,278.34,269.38,276.56,272.46,268.12,268.05,252.07,243.32,249.30,250.97,276.50,268.90,270.69,253.35,233.00,224.45,,,
AZE,Azerbaijan,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,1688.72,2151.88,2623.96,2357.51,2187.25,1962.63,1881.15,1624.28,1524.21,1336.62,1231.85,1150.43,1080.80,914.15,774.76,665.56,670.41,,,
BDI,Burundi,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,110.69,119.39,109.40,123.38,129.69,137.82,148.16,143.86,130.95,129.06,133.43,94.07,91.59,69.54,64.86,65.75,75.05,67.07,62.90,,,
BEL,Belgium,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,434.02,462.00,442.63,425.63,428.92,417.71,436.15,408.71,410.94,385.75,371.63,365.72,338.04,358.19,336.23,318.19,308.98,288.16,291.83,,,
BEN,Benin,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,134.12,148.43,155.97,188.48,201.63,202.25,182.62,165.56,157.89,194.09,189.91,194.40,219.78,239.11,239.61,249.24,347.85,345.96,345.03,,,
