Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,1840.83,1928.84,1723.49,1771.16,1763.83,1785.83,1811.50,1851.84,1668.49,1686.82,2233.20,2236.87,2255.21,2255.21,2258.87,2273.54,2273.54,2357.88,2288.21,,,
ADO,Andorra,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,,,,407.04,425.37,458.38,484.04,513.38,524.38,524.38,531.72,535.38,564.72,575.72,546.38,539.05,539.05,,,
AFG,Afghanistan,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,2676.91,2493.56,1426.46,1375.13,1320.12,1268.78,1199.11,1114.77,1056.10,832.41,781.07,645.39,359.37,583.05,704.06,700.40,696.73,715.07,814.07,,,
AGO,Angola,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,4429.74,4367.40,4418.74,5801.19,3890.69,11012.00,10491.29,7381.67,7308.33,9156.50,9541.53,9732.22,12665.82,9064.82,18793.38,19156.41,22266.02,25151.95,24370.88,,,
ALB,Albania,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,7488.01,3971.36,2387.22,2343.21,1928.84,2086.52,2016.85,1543.81,1752.83,2992.27,3028.94,3230.63,3751.34,4290.39,4004.36,4602.09,4231.72,4481.07,4176.71,,,
ARE,United Arab Emirates,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,52009.06,57010.85,58136.62,65980.33,73130.98,70641.09,41059.40,41646.12,81495.41,78374.79,112562.23,101333.88,84300.66,106365.00,112877.59,115627.84,122752.83,137981.88,155066.43,,,
ARG,Argentina,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,112613.57,117021.30,121447.37,118609.12,123350.55,122547.47,129217.75,134677.91,137673.85,145488.23,141076.82,140471.77,131406.95,142349.27,155000.42,158924.11,175528.29,183727.70,192378.15,,,
ARM,Armenia,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,3681.67,2929.93,2966.60,3490.98,2607.24,3278.30,3406.64,3058.28,3465.32,3542.32,3003.27,3428.65,3645.00,4349.06,4378.40,5056.79,5548.17,,,
ASM,American Samoa,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,300.69,293.36,293.36,308.03,311.70,322.70,322.70,337.36,333.70,348.37,344.70,344.70,363.03,388.70,407.04,410.70,425.37,436.37,447.37,,,
AUS,Australia,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,287331.45,281530.26,294456.43,302116.80,303957.63,307433.95,329259.93,333623.66,346912.87,325523.26,329604.63,324859.53,341397.70,346476.50,349223.08,367393.06,377381.97,380814.28,399218.96,,,
AUT,Austria,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,60960.21,65888.66,60531.17,58213.63,57586.57,60622.84,61055.55,61359.91,63549.11,61755.95,61788.95,63637.12,65118.59,72316.91,72118.89,74385.10,72126.22,68807.59,67725.82,,,
AZE,Azerbaijan,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,44172.68,43285.27,42383.19,33586.05,31565.54,29966.72,31594.87,29299.33,30546.11,29438.68,30007.06,31162.17,32262.27,34491.80,39317.57,42236.51,47139.29,,,
BDI,Burundi,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,304.36,344.70,319.03,337.36,341.03,333.70,330.03,315.36,300.69,293.36,300.69,216.35,220.02,165.02,161.35,165.02,198.02,183.35,179.68,,,
BEL,Belgium,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,108469.86,117578.69,114373.73,108924.57,113306.63,112976.60,119624.87,116295.24,119184.83,115844.20,115712.19,114766.10,107531.11,114835.77,111282.45,107116.74,106816.04,102529.32,104879.87,,,
BEN,Benin,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,715.07,828.74,905.75,1133.10,1265.12,1327.45,1265.12,1217.44,1213.78,1562.14,1617.15,1738.16,2053.52,2321.21,2398.22,2566.90,3729.34,3879.69,4066.70,,,
